Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	6.6074278354644775	1000	2000	11.037702640952192	2.558748861205822	108	2000
1	12.313501596450806	1000	3000	11.037702640952192	-3.208126719477878	166	3000
2	17.890074729919434	1000	4000	18.33498106291372	-4.121603740281716	219	4000
3	23.356842517852783	1000	5000	18.33498106291372	-5.790712455424363	273	5000
4	28.879873752593994	1000	6000	18.33498106291372	12.64341399104451	328	6000
5	34.296109676361084	1000	7000	18.33498106291372	0.34184182664757845	384	7000
6	39.780303716659546	1000	8000	18.33498106291372	2.540053791554238	439	8000
7	45.304893493652344	1000	9000	18.33498106291372	-5.405660635356616	497	9000
8	50.78431963920593	1000	10000	18.418989798463006	18.418989798463006	551	10000
9	56.33063220977783	1000	11000	18.418989798463006	-4.939655854085867	608	11000
10	61.90686774253845	1000	12000	18.418989798463006	4.8851118281178065	664	12000
11	67.40683627128601	1000	13000	18.418989798463006	5.09983542033442	718	13000
12	72.93748927116394	1000	14000	18.418989798463006	-2.570133879088098	773	14000
13	78.69715404510498	1000	15000	18.418989798463006	-1.8987185443707855	827	15000
14	84.48678708076477	1000	16000	18.418989798463006	-1.2343245714655504	884	16000
15	90.54666066169739	1000	17000	18.418989798463006	-0.07800125188077844	938	17000
16	96.67377471923828	1000	18000	18.418989798463006	-2.2861000105607667	995	18000
17	102.94683241844177	1000	19000	18.418989798463006	-4.638649508840172	1048	19000
18	109.23392128944397	1000	20000	18.418989798463006	0.5410933471343009	1102	20000
19	115.24121737480164	1000	21000	18.418989798463006	-9.192857989908953	1157	21000
20	121.26660919189453	1000	22000	18.418989798463006	2.454356985527556	1213	22000
21	127.33817958831787	1000	23000	18.418989798463006	7.385396394063719	1266	23000
22	133.35890316963196	1000	24000	18.418989798463006	2.1111309721891303	1322	24000
23	139.49050068855286	1000	25000	18.418989798463006	7.420824160496706	1375	25000
24	145.69237565994263	1000	26000	18.418989798463006	2.1121544860579884	1426	26000
25	151.82905793190002	1000	27000	18.418989798463006	-1.8872183534753275	1480	27000
26	157.93970036506653	1000	28000	18.418989798463006	-0.5854334368588752	1535	28000
27	164.11110544204712	1000	29000	18.418989798463006	6.118803692117216	1591	29000
28	170.31854915618896	1000	30000	18.418989798463006	0.5092946515622312	1646	30000
29	176.73992562294006	1000	31000	18.418989798463006	1.7469387498669666	1702	31000
30	182.81278729438782	1000	32000	18.418989798463006	7.792039104126159	1754	32000
31	189.1394853591919	1000	33000	18.418989798463006	0.04602451526152462	1808	33000
32	195.22812247276306	1000	34000	18.418989798463006	-0.03932248191122234	1864	34000
33	201.36228227615356	1000	35000	18.418989798463006	-2.4867486366303635	1917	35000
34	207.5249581336975	1000	36000	18.418989798463006	3.1313258907714037	1974	36000
35	213.71215915679932	1000	37000	18.418989798463006	0.10285400633292752	2027	37000
36	219.90795850753784	1000	38000	18.418989798463006	2.025123073479335	2078	38000
37	226.09562420845032	1000	39000	18.418989798463006	4.701361914299197	2132	39000
38	232.2774612903595	1000	40000	18.418989798463006	-0.18749414546619048	2186	40000
39	238.24241089820862	1000	41000	18.418989798463006	-4.515922416531248	2243	41000
40	244.30362629890442	1000	42000	18.418989798463006	-1.599362067806942	2296	42000
41	250.43661642074585	1000	43000	18.418989798463006	0.09012820445495917	2350	43000
42	256.62172770500183	1000	44000	18.418989798463006	0.9196319918963136	2409	44000
43	262.72666788101196	1000	45000	19.050740598839184	3.5419279811248994	2464	45000
44	268.7104434967041	1000	46000	19.050740598839184	0.4419341823013383	2518	46000
45	274.65206146240234	1000	47000	19.050740598839184	-1.1179971136094538	2575	47000
46	280.63002157211304	1000	48000	19.050740598839184	3.2637175925498005	2629	48000
47	286.69147634506226	1000	49000	19.050740598839184	2.483964969046064	2683	49000
48	292.774197101593	1000	50000	19.050740598839184	6.063823593298729	2738	50000
49	298.9778735637665	1000	51000	19.050740598839184	-5.254063123285596	2794	51000
50	305.11123609542847	1000	52000	19.050740598839184	-2.212683098725393	2849	52000
51	311.12191247940063	1000	53000	19.050740598839184	3.1504468305633058	2905	53000
52	317.25383830070496	1000	54000	19.050740598839184	-1.3533067537791794	2959	54000
53	323.39978432655334	1000	55000	19.050740598839184	1.638582930415578	3014	55000
54	329.62617087364197	1000	56000	19.050740598839184	-7.661232990463032	3072	56000
55	335.77258801460266	1000	57000	19.050740598839184	-0.6305051028582969	3128	57000
56	342.0846128463745	1000	58000	19.050740598839184	1.8676904443826057	3183	58000
57	347.96438431739807	1000	59000	19.050740598839184	-0.23317875971551993	3240	59000
58	353.5639169216156	1000	60000	19.050740598839184	2.5219094691638024	3295	60000
59	359.1519064903259	1000	61000	19.050740598839184	3.5079922499906386	3353	61000
60	364.76288866996765	1000	62000	19.050740598839184	3.5471365553064977	3409	62000
61	370.28679847717285	1000	63000	19.050740598839184	2.315163346948975	3464	63000
62	375.7978641986847	1000	64000	19.050740598839184	1.4545635418951859	3520	64000
63	381.65140295028687	1000	65000	19.050740598839184	0.6051875367658779	3575	65000
64	387.34136605262756	1000	66000	19.050740598839184	-5.509875001950423	3631	66000
65	393.23917531967163	1000	67000	19.050740598839184	0.7067068006246695	3688	67000
66	399.35358333587646	1000	68000	19.050740598839184	2.585249182015832	3747	68000
67	405.48454332351685	1000	69000	20.40612991713133	7.259904726070818	3801	69000
68	411.53886246681213	1000	70000	20.40612991713133	-3.20869881688559	3858	70000
69	417.7277307510376	1000	71000	20.40612991713133	6.707457951398101	3913	71000
70	423.7428135871887	1000	72000	20.40612991713133	0.8377764128235863	3969	72000
71	429.85288739204407	1000	73000	20.40612991713133	-1.3345821476221316	4024	73000
72	436.0574884414673	1000	74000	20.40612991713133	0.32153206645452803	4076	74000
73	441.92875266075134	1000	75000	20.40612991713133	6.692827361718811	4132	75000
74	448.043653011322	1000	76000	20.40612991713133	-3.682081448547253	4187	76000
